round,date,match,venue
Sat 4 Jul 12:00pm,"Sydney
v 
Western Bulldogs",SCG,
Sat 4 Jul 12:00pm,"Port Adelaide
v 
North Melbourne",Adelaide Oval,
Sat 4 Jul 12:00pm,"West Coast
v 
Adelaide",Optus Stadium,
Sat 11 Jul 12:00pm,"Brisbane
v 
Essendon",Gabba,
Sat 11 Jul 12:00pm,"Carlton
v 
Hawthorn",MCG,
Sat 11 Jul 12:00pm,"Collingwood
v 
North Melbourne",Marvel Stadium,
Sat 11 Jul 12:00pm,"GWS
v 
Geelong",ENGIE Stadium,
Sat 11 Jul 12:00pm,"Melbourne
v 
Richmond",MCG,
Sat 11 Jul 12:00pm,"St Kilda
v 
Port Adelaide",Marvel Stadium,
Sat 11 Jul 12:00pm,"Western Bulldogs
v 
West Coast",Marvel Stadium,
Sat 11 Jul 12:00pm,"Adelaide
v 
Gold Coast",Adelaide Oval,
Sat 11 Jul 12:00pm,"Fremantle
v 
Sydney",Optus Stadium,
Sat 18 Jul 12:00pm,"Collingwood
v 
Carlton",MCG,
Sat 18 Jul 12:00pm,"Essendon
v 
GWS",Marvel Stadium,
Sat 18 Jul 12:00pm,"Geelong
v 
St Kilda",GMHBA Stadium,
Sat 18 Jul 12:00pm,"Gold Coast
v 
Western Bulldogs",People First Stadium,
Sat 18 Jul 12:00pm,"North Melbourne
v 
Melbourne",Marvel Stadium,
Sat 18 Jul 12:00pm,"Richmond
v 
Hawthorn",MCG,
Sat 18 Jul 12:00pm,"Sydney
v 
Adelaide",SCG,
Sat 18 Jul 12:00pm,"Port Adelaide
v 
Fremantle",Adelaide Oval,
Sat 18 Jul 12:00pm,"West Coast
v 
Brisbane",Optus Stadium,
Sat 25 Jul 12:00pm,"Brisbane
v 
Port Adelaide",Gabba,
Sat 25 Jul 12:00pm,"Carlton
v 
Gold Coast",Marvel Stadium,
Sat 25 Jul 12:00pm,"GWS
v 
Sydney",ENGIE Stadium,
Sat 25 Jul 12:00pm,"Hawthorn
v 
Essendon",MCG,
Sat 25 Jul 12:00pm,"North Melbourne
v 
St Kilda",Marvel Stadium,
Sat 25 Jul 12:00pm,"Melbourne
v 
Geelong",MCG,
Sat 25 Jul 12:00pm,"Western Bulldogs
v 
Richmond",Marvel Stadium,
Sat 25 Jul 12:00pm,"Adelaide
v 
Collingwood",Adelaide Oval,
Sat 25 Jul 12:00pm,"Fremantle
v 
West Coast",Optus Stadium,
Sat 1 Aug 12:00pm,"Carlton
v 
Brisbane",Marvel Stadium,
Sat 1 Aug 12:00pm,"Collingwood
v 
Geelong",MCG,
Sat 1 Aug 12:00pm,"Essendon
v 
Adelaide",Marvel Stadium,
Sat 1 Aug 12:00pm,"Gold Coast
v 
Melbourne",People First Stadium,
Sat 1 Aug 12:00pm,"Hawthorn
v 
North Melbourne",UTAS Stadium,
Sat 1 Aug 12:00pm,"Richmond
v 
West Coast",MCG,
Sat 1 Aug 12:00pm,"St Kilda
v 
Sydney",Marvel Stadium,
Sat 1 Aug 12:00pm,"Port Adelaide
v 
GWS",Adelaide Oval,
